point,time_s,signal_raw,signal_scaled
594,116.317587276,38098,18.1665420532
595,116.513345840,38050,18.1436538696
596,116.709104405,38002,18.120765686
597,116.904862969,37957,18.0993080139
598,117.100621533,37912,18.0778503418
599,117.296380098,37870,18.0578231812
600,117.492138662,37832,18.0397033691
601,117.687897227,37798,18.0234909058
602,117.883655791,37768,18.009185791
603,118.079414356,37739,17.9953575134
604,118.275172920,37716,17.9843902588
605,118.470931485,37697,17.9753303528
606,118.666690049,37679,17.9667472839
607,118.862448613,37662,17.9586410522
608,119.058207178,37647,17.9514884949
609,119.253965742,37634,17.9452896118
610,119.449724307,37619,17.9381370544
611,119.645482871,37604,17.9309844971
612,119.841241436,37590,17.9243087769
613,120.037000000,37590,17.9243087769
